ID,Topic_EN,Topic_ES,Topic_DE,Topic_FR,Topic_ZH,Description_EN,Description_ES,Description_DE,Description_FR,Description_ZH,Level,Estimated_Hours,Resources
91,Transformers,Transformers,Transformers,Transformers,Transformers,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Beginner,37,"Kaggle, GitHub, Research Papers"
92,Data Preprocessing,Data Preprocessing,Data Preprocessing,Data Preprocessing,Data Preprocessing,Cleaning and transforming raw data for ML models.,Limpieza y transformación de datos para modelos de ML.,Bereinigung und Transformation von Rohdaten für ML-Modelle.,Nettoyage et transformation des données pour les modèles ML.,为机器学习模型清理和转换原始数据。,Beginner,25,"edX, Blogs, Tutorials"
93,Hyperparameter Tuning,Hyperparameter Tuning,Hyperparameter Tuning,Hyperparameter Tuning,Hyperparameter Tuning,Optimizing model parameters for best results.,Optimización de parámetros del modelo para mejores resultados.,Optimierung von Modellparametern für beste Ergebnisse.,Optimisation des paramètres du modèle pour de meilleurs résultats.,优化模型参数以获得最佳结果。,Advanced,15,"Kaggle, GitHub, Research Papers"
94,Neural Networks,Neural Networks,Neural Networks,Neural Networks,Neural Networks,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Advanced,22,"Coursera, YouTube, Books"
95,Transformers,Transformers,Transformers,Transformers,Transformers,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Beginner,19,"Coursera, YouTube, Books"
96,Recurrent Networks,Recurrent Networks,Recurrent Networks,Recurrent Networks,Recurrent Networks,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Intermediate,26,"Coursera, YouTube, Books"
97,Neural Networks,Neural Networks,Neural Networks,Neural Networks,Neural Networks,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Advanced,15,"Coursera, YouTube, Books"
98,AI in Finance,AI in Finance,AI in Finance,AI in Finance,AI in Finance,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Intermediate,41,"Coursera, YouTube, Books"
99,AI in Finance,AI in Finance,AI in Finance,AI in Finance,AI in Finance,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Intermediate,30,"Kaggle, GitHub, Research Papers"
100,AI Ethics,AI Ethics,AI Ethics,AI Ethics,AI Ethics,Understanding ethical concerns in AI applications.,Comprender los problemas éticos en aplicaciones de IA.,Verstehen ethischer Bedenken in KI-Anwendungen.,Comprendre les enjeux éthiques dans les applications IA.,理解人工智能应用中的伦理问题。,Advanced,36,"Kaggle, GitHub, Research Papers"
101,Data Preprocessing,Data Preprocessing,Data Preprocessing,Data Preprocessing,Data Preprocessing,Cleaning and transforming raw data for ML models.,Limpieza y transformación de datos para modelos de ML.,Bereinigung und Transformation von Rohdaten für ML-Modelle.,Nettoyage et transformation des données pour les modèles ML.,为机器学习模型清理和转换原始数据。,Intermediate,42,"Kaggle, GitHub, Research Papers"
102,Recurrent Networks,Recurrent Networks,Recurrent Networks,Recurrent Networks,Recurrent Networks,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Intermediate,29,"edX, Blogs, Tutorials"
103,Computer Vision,Computer Vision,Computer Vision,Computer Vision,Computer Vision,Methods to enable machines to understand images and videos.,Métodos para que las máquinas comprendan imágenes y videos.,"Methoden, damit Maschinen Bilder und Videos verstehen.",Méthodes pour permettre aux machines de comprendre les images et vidéos.,让机器理解图像和视频的方法。,Beginner,30,"edX, Blogs, Tutorials"
104,AI in Healthcare,AI in Healthcare,AI in Healthcare,AI in Healthcare,AI in Healthcare,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Intermediate,5,"Kaggle, GitHub, Research Papers"
105,Data Preprocessing,Data Preprocessing,Data Preprocessing,Data Preprocessing,Data Preprocessing,Cleaning and transforming raw data for ML models.,Limpieza y transformación de datos para modelos de ML.,Bereinigung und Transformation von Rohdaten für ML-Modelle.,Nettoyage et transformation des données pour les modèles ML.,为机器学习模型清理和转换原始数据。,Intermediate,33,"Kaggle, GitHub, Research Papers"
106,Computer Vision,Computer Vision,Computer Vision,Computer Vision,Computer Vision,Methods to enable machines to understand images and videos.,Métodos para que las máquinas comprendan imágenes y videos.,"Methoden, damit Maschinen Bilder und Videos verstehen.",Méthodes pour permettre aux machines de comprendre les images et vidéos.,让机器理解图像和视频的方法。,Intermediate,48,"edX, Blogs, Tutorials"
107,Machine Learning Basics,Machine Learning Basics,Machine Learning Basics,Machine Learning Basics,Machine Learning Basics,Introduction to ML concepts and algorithms.,Introducción a los conceptos y algoritmos de ML.,Einführung in ML-Konzepte und Algorithmen.,Introduction aux concepts et algorithmes de ML.,机器学习概念和算法简介。,Beginner,36,"Coursera, YouTube, Books"
108,Machine Learning Basics,Machine Learning Basics,Machine Learning Basics,Machine Learning Basics,Machine Learning Basics,Introduction to ML concepts and algorithms.,Introducción a los conceptos y algoritmos de ML.,Einführung in ML-Konzepte und Algorithmen.,Introduction aux concepts et algorithmes de ML.,机器学习概念和算法简介。,Beginner,40,"Coursera, YouTube, Books"
109,Reinforcement Learning,Reinforcement Learning,Reinforcement Learning,Reinforcement Learning,Reinforcement Learning,Learning optimal actions through rewards and penalties.,Aprendizaje de acciones óptimas mediante recompensas y penalizaciones.,Erlernen optimaler Aktionen durch Belohnungen und Bestrafungen.,Apprentissage des actions optimales via récompenses et pénalités.,通过奖励和惩罚学习最优动作。,Beginner,13,"edX, Blogs, Tutorials"
110,Recurrent Networks,Recurrent Networks,Recurrent Networks,Recurrent Networks,Recurrent Networks,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Advanced,14,"Kaggle, GitHub, Research Papers"
111,AI in Finance,AI in Finance,AI in Finance,AI in Finance,AI in Finance,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Advanced,39,"Kaggle, GitHub, Research Papers"
112,Recurrent Networks,Recurrent Networks,Recurrent Networks,Recurrent Networks,Recurrent Networks,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Beginner,42,"edX, Blogs, Tutorials"
113,Transformers,Transformers,Transformers,Transformers,Transformers,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Beginner,17,"Coursera, YouTube, Books"
114,AI Project Deployment,AI Project Deployment,AI Project Deployment,AI Project Deployment,AI Project Deployment,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Beginner,50,"Coursera, YouTube, Books"
115,Hyperparameter Tuning,Hyperparameter Tuning,Hyperparameter Tuning,Hyperparameter Tuning,Hyperparameter Tuning,Optimizing model parameters for best results.,Optimización de parámetros del modelo para mejores resultados.,Optimierung von Modellparametern für beste Ergebnisse.,Optimisation des paramètres du modèle pour de meilleurs résultats.,优化模型参数以获得最佳结果。,Beginner,42,"Kaggle, GitHub, Research Papers"
116,Model Evaluation,Model Evaluation,Model Evaluation,Model Evaluation,Model Evaluation,Techniques to assess ML model performance.,Técnicas para evaluar el rendimiento del modelo ML.,Techniken zur Bewertung der ML-Modellleistung.,Techniques pour évaluer les performances du modèle ML.,评估机器学习模型性能的技术。,Beginner,29,"Coursera, YouTube, Books"
117,AI in Finance,AI in Finance,AI in Finance,AI in Finance,AI in Finance,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Advanced,37,"Coursera, YouTube, Books"
118,Machine Learning Basics,Machine Learning Basics,Machine Learning Basics,Machine Learning Basics,Machine Learning Basics,Introduction to ML concepts and algorithms.,Introducción a los conceptos y algoritmos de ML.,Einführung in ML-Konzepte und Algorithmen.,Introduction aux concepts et algorithmes de ML.,机器学习概念和算法简介。,Beginner,31,"Kaggle, GitHub, Research Papers"
119,AI in Finance,AI in Finance,AI in Finance,AI in Finance,AI in Finance,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Beginner,24,"edX, Blogs, Tutorials"
120,Hyperparameter Tuning,Hyperparameter Tuning,Hyperparameter Tuning,Hyperparameter Tuning,Hyperparameter Tuning,Optimizing model parameters for best results.,Optimización de parámetros del modelo para mejores resultados.,Optimierung von Modellparametern für beste Ergebnisse.,Optimisation des paramètres du modèle pour de meilleurs résultats.,优化模型参数以获得最佳结果。,Advanced,5,"Coursera, YouTube, Books"
121,Deep Learning,Deep Learning,Deep Learning,Deep Learning,Deep Learning,Study of neural networks and deep architectures.,Estudio de redes neuronales y arquitecturas profundas.,Studium von neuronalen Netzen und tiefen Architekturen.,Étude des réseaux neuronaux et des architectures profondes.,神经网络与深度结构研究。,Beginner,27,"Kaggle, GitHub, Research Papers"
122,AI Project Deployment,AI Project Deployment,AI Project Deployment,AI Project Deployment,AI Project Deployment,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Intermediate,16,"Kaggle, GitHub, Research Papers"
123,AI in Finance,AI in Finance,AI in Finance,AI in Finance,AI in Finance,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Advanced,13,"edX, Blogs, Tutorials"
124,Deep Learning,Deep Learning,Deep Learning,Deep Learning,Deep Learning,Study of neural networks and deep architectures.,Estudio de redes neuronales y arquitecturas profundas.,Studium von neuronalen Netzen und tiefen Architekturen.,Étude des réseaux neuronaux et des architectures profondes.,神经网络与深度结构研究。,Intermediate,38,"Coursera, YouTube, Books"
125,AI in Robotics,AI in Robotics,AI in Robotics,AI in Robotics,AI in Robotics,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Advanced,5,"Kaggle, GitHub, Research Papers"
126,Recurrent Networks,Recurrent Networks,Recurrent Networks,Recurrent Networks,Recurrent Networks,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Advanced,30,"edX, Blogs, Tutorials"
127,Computer Vision,Computer Vision,Computer Vision,Computer Vision,Computer Vision,Methods to enable machines to understand images and videos.,Métodos para que las máquinas comprendan imágenes y videos.,"Methoden, damit Maschinen Bilder und Videos verstehen.",Méthodes pour permettre aux machines de comprendre les images et vidéos.,让机器理解图像和视频的方法。,Beginner,36,"Kaggle, GitHub, Research Papers"
128,AI in Robotics,AI in Robotics,AI in Robotics,AI in Robotics,AI in Robotics,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Beginner,24,"edX, Blogs, Tutorials"
129,Recurrent Networks,Recurrent Networks,Recurrent Networks,Recurrent Networks,Recurrent Networks,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Advanced,40,"Coursera, YouTube, Books"
130,Data Preprocessing,Data Preprocessing,Data Preprocessing,Data Preprocessing,Data Preprocessing,Cleaning and transforming raw data for ML models.,Limpieza y transformación de datos para modelos de ML.,Bereinigung und Transformation von Rohdaten für ML-Modelle.,Nettoyage et transformation des données pour les modèles ML.,为机器学习模型清理和转换原始数据。,Intermediate,12,"edX, Blogs, Tutorials"
131,Model Evaluation,Model Evaluation,Model Evaluation,Model Evaluation,Model Evaluation,Techniques to assess ML model performance.,Técnicas para evaluar el rendimiento del modelo ML.,Techniken zur Bewertung der ML-Modellleistung.,Techniques pour évaluer les performances du modèle ML.,评估机器学习模型性能的技术。,Intermediate,17,"Coursera, YouTube, Books"
132,AI Ethics,AI Ethics,AI Ethics,AI Ethics,AI Ethics,Understanding ethical concerns in AI applications.,Comprender los problemas éticos en aplicaciones de IA.,Verstehen ethischer Bedenken in KI-Anwendungen.,Comprendre les enjeux éthiques dans les applications IA.,理解人工智能应用中的伦理问题。,Intermediate,19,"edX, Blogs, Tutorials"
133,Natural Language Processing,Natural Language Processing,Natural Language Processing,Natural Language Processing,Natural Language Processing,Techniques for processing and analyzing text data.,Técnicas para procesar y analizar datos de texto.,Techniken zur Verarbeitung und Analyse von Textdaten.,Techniques pour traiter et analyser les données textuelles.,处理和分析文本数据的技术。,Beginner,38,"Coursera, YouTube, Books"
134,Reinforcement Learning,Reinforcement Learning,Reinforcement Learning,Reinforcement Learning,Reinforcement Learning,Learning optimal actions through rewards and penalties.,Aprendizaje de acciones óptimas mediante recompensas y penalizaciones.,Erlernen optimaler Aktionen durch Belohnungen und Bestrafungen.,Apprentissage des actions optimales via récompenses et pénalités.,通过奖励和惩罚学习最优动作。,Beginner,25,"edX, Blogs, Tutorials"
135,AI in Finance,AI in Finance,AI in Finance,AI in Finance,AI in Finance,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Advanced,49,"Kaggle, GitHub, Research Papers"
136,AI Project Deployment,AI Project Deployment,AI Project Deployment,AI Project Deployment,AI Project Deployment,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Advanced,32,"edX, Blogs, Tutorials"
137,Deep Learning,Deep Learning,Deep Learning,Deep Learning,Deep Learning,Study of neural networks and deep architectures.,Estudio de redes neuronales y arquitecturas profundas.,Studium von neuronalen Netzen und tiefen Architekturen.,Étude des réseaux neuronaux et des architectures profondes.,神经网络与深度结构研究。,Intermediate,43,"Kaggle, GitHub, Research Papers"
138,AI Project Deployment,AI Project Deployment,AI Project Deployment,AI Project Deployment,AI Project Deployment,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Intermediate,24,"Kaggle, GitHub, Research Papers"
139,AI in Robotics,AI in Robotics,AI in Robotics,AI in Robotics,AI in Robotics,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Intermediate,8,"Kaggle, GitHub, Research Papers"
140,AI Ethics,AI Ethics,AI Ethics,AI Ethics,AI Ethics,Understanding ethical concerns in AI applications.,Comprender los problemas éticos en aplicaciones de IA.,Verstehen ethischer Bedenken in KI-Anwendungen.,Comprendre les enjeux éthiques dans les applications IA.,理解人工智能应用中的伦理问题。,Intermediate,46,"Coursera, YouTube, Books"
141,Model Evaluation,Model Evaluation,Model Evaluation,Model Evaluation,Model Evaluation,Techniques to assess ML model performance.,Técnicas para evaluar el rendimiento del modelo ML.,Techniken zur Bewertung der ML-Modellleistung.,Techniques pour évaluer les performances du modèle ML.,评估机器学习模型性能的技术。,Advanced,44,"Coursera, YouTube, Books"
